Name,Description,Size,Host Key
G202,Geo Sciences Building,30,#SPLUS4E4310
WSS114,Wits Science Stadium,30,#SPLUS4E4314
FNB161,First National Bank Building,30,#SPLUS4E4316
SH1126 PURPLE ROOM,Senate House 1st floor,30,#SPLUS4E4318
FNB159,First National Bank Building,30,#SPLUS4E431A
CB228,Robert Sobukwe Building 2nd floor,30,#SPLUS4E431C
BP003,Bernard Price Building,30,#SPLUS4E431E
CM4,CoM Building,30,#SPLUS4E4320
GH600,Gate House Building,30,#SPLUS4E4322
SH3118,Solomon Mahlangu House 3rd floor,30,#SPLUS4E4324
GH301,Gate House Building,30,#SPLUS4E4326
BP016,Bernard Price Building,30,#SPLUS4E4328
U10,Umthombo Building,250,4257-2
U10,Umthombo Building,250,4257-1
U10,Umthombo Building,250,4257-3
U10,Umthombo Building,250,4257-4
U10,Umthombo Building,250,4260-3
U10,Umthombo Building,250,4260-4
U10,Umthombo Building,250,4260-2
U10,Umthombo Building,250,4260-1
SH3103,Solomon Mahlangu House 3rd floor,30,4259-2
SH3104,Solomon Mahlangu House 3rd floor,30,#SPLUS4E42BF
SHBB,Solomon Mahlangu House B1,30,#SPLUS4E435A
SH3124,Solomon Mahlangu House 3rd floor,30,#SPLUS4E435C
SH3120D,Solomon Mahlangu House 3rd floor,30,#SPLUS4E435E
SHBC,Solomon Mahlangu House B1,30,#SPLUS4E4360
