Name,Description,Size,Host Key
CB253,Robert Sobukwe Building 2nd floor,50,7671-10
CB256,Robert Sobukwe Building 2nd floor,50,7671-9
CB227,Robert Sobukwe Building 2nd floor,50,7671-7
WSS201,Wits Science Stadium,50,7672-2
CLM38,CLM Building,50,7672-3
WSS1,Wits Science Stadium,250,5084-2
WSS1,Wits Science Stadium,250,5084-1
CM5,CoM Building,40,#SPLUSC9407F
WSS1,Wits Science Stadium,230,5089-1
WSS1,Wits Science Stadium,230,5089-2
WSS1,Wits Science Stadium,250,5088-1
WSS106,Wits Science Stadium,40,10675-6
WSS105,Wits Science Stadium,40,10675-5
WSS104 (Esorfranki Room),Wits Science Stadium,40,10675-4
WSS201,Wits Science Stadium,40,10675-3
WSS107,Wits Science Stadium,40,10675-2
WSS103,Wits Science Stadium,40,10675-1
WSS5,Wits Science Stadium,300,5090-2
WSS5,Wits Science Stadium,300,5090-3
FNB102,First National Bank Building,300,5090-4
WSS104 (Esorfranki Room),Wits Science Stadium,40,7658-6
WSS205,Wits Science Stadium,40,7658-5
WSS107,Wits Science Stadium,40,7658-4
WSS106,Wits Science Stadium,40,7658-3
WSS105,Wits Science Stadium,40,7658-2
WSS103,Wits Science Stadium,40,7658-1
LB145,Law Building,70,7917-4
LB145,Law Building,70,7917-1
LB145,Law Building,70,7917-3
LB145,Law Building,70,7917-2
LB144,Law Building,40,7918-2
LB145,Law Building,30,7918-1
NCB3,New Commerce Building,250,10684-4
NCB3,New Commerce Building,250,10684-1
NCB3,New Commerce Building,250,10684-2
NCB3,New Commerce Building,250,10684-3
WSS206,Wits Science Stadium,30,10683-4
WSS204,Wits Science Stadium,30,10683-3
WSS201,Wits Science Stadium,50,10683-2
WSS101 (Bateman Room),Wits Science Stadium,50,10683-1
B121,Biology Building,40,10685-5
GHLG2,Gate House Building,50,10685-4
CLM102,CLM Building,50,10685-3
LB146,Law Building,50,10685-2
LB143,Law Building,50,10685-1
CB241,Robert Sobukwe Building 2nd floor,200,8555-3
CB241,Robert Sobukwe Building 2nd floor,200,8555-4
CB38,Robert Sobukwe Building Ground floor,200,#SPLUS2B772A
U10,Umthombo Building,158,5093-1
U10,Umthombo Building,158,5093-2
A1,John Moffat Building,250,5094-2
A1,John Moffat Building,250,5094-1
WSS103,Wits Science Stadium,30,7676-6
WSS201,Wits Science Stadium,30,7676-5
CM4,CoM Building,30,7676-4
WSS207,Wits Science Stadium,30,7676-2
WSS101 (Bateman Room),Wits Science Stadium,30,7676-1
WSS107,Wits Science Stadium,40,7677-7
WSS205,Wits Science Stadium,40,7677-6
WSS106,Wits Science Stadium,40,7677-5
WSS105,Wits Science Stadium,40,7677-4
WSS207,Wits Science Stadium,40,7677-3
WSS104 (Esorfranki Room),Wits Science Stadium,40,7677-2
WSS103,Wits Science Stadium,40,7677-1
GLT,Geo Sciences Building,250,5095-1
GLT,Geo Sciences Building,250,5095-2
CB230,Robert Sobukwe Building 2nd floor,40,5096-7
CB227,Robert Sobukwe Building 2nd floor,40,5096-6
CB129,Robert Sobukwe Building 1st floor,40,5096-5
CB256,Robert Sobukwe Building 2nd floor,40,5096-3
NCB148,New Commerce Building,50,5096-2
CM5,CoM Building,50,5096-1
"CB142,OLS1","Robert Sobukwe Building 1st floor,Oppenheimer Life Sciences",170,5097-4
FNB5,First National Bank Building,170,5097-3
WSS106,Wits Science Stadium,40,5098-12
WSS107,Wits Science Stadium,40,5098-11
